league,gamePk,eventId,date,gameDate,awayTeam,homeTeam,matchup,marketSpread,marketTotal,awayMoneyline,homeMoneyline,awaySpreadPrice,homeSpreadPrice,overPrice,underPrice,source,bookmakerKey,bookmakerTitle,updatedAt
MLB,823479,b83acf62bfc5d9a65fbea3ae78974c7b,2026-04-12,2026-04-12T17:36:00Z,ARI,PHI,ARI @ PHI,1.5,7.5,252.0,-355.0,-217.0,163.0,-105.0,-124.0,The Odds API • DraftKings,draftkings,DraftKings,2026-04-12T19:28:57Z
MLB,822828,752e9b625117fe75f792a9f4c0464b06,2026-04-12,2026-04-12T17:38:00Z,MIN,TOR,MIN @ TOR,-6.5,12.5,-20000.0,2500.0,-158.0,118.0,104.0,-138.0,The Odds API • FanDuel,fanduel,FanDuel,2026-04-12T19:28:59Z
MLB,824859,e2d6559de3f32042d39f5da40364950a,2026-04-12,2026-04-12T17:40:00Z,SFG,BAL,SFG @ BAL,3.5,7.5,1220.0,-10000.0,136.0,-178.0,-138.0,106.0,The Odds API • DraftKings,draftkings,DraftKings,2026-04-12T19:28:57Z
MLB,822998,09f98bac3897ce216acb197781ef8add,2026-04-12,2026-04-12T17:40:03Z,NYY,TBR,NYY @ TBR,1.5,7.5,128.0,-168.0,-214.0,161.0,-108.0,-121.0,The Odds API • DraftKings,draftkings,DraftKings,2026-04-12T19:28:57Z
MLB,824533,f032258401e01dc5335139248b940efc,2026-04-12,2026-04-12T17:41:00Z,LAA,CIN,LAA @ CIN,-6.5,9.5,-10000.0,3300.0,-150.0,118.0,-135.0,105.0,The Odds API • BetMGM,betmgm,BetMGM,2026-04-12T19:27:26Z
MLB,824293,118a6e3080de70ad7b82922f6a69fc7c,2026-04-12,2026-04-12T17:41:00Z,MIA,DET,MIA @ DET,6.5,9.5,3300.0,-10000.0,-200.0,155.0,120.0,-155.0,The Odds API • BetMGM,betmgm,BetMGM,2026-04-12T19:27:26Z
MLB,823642,8436950162a83e19024ade45a28249e6,2026-04-12,2026-04-12T17:41:00Z,OAK,NYM,OAK @ NYM,-1.5,2.5,-217.0,163.0,236.0,-328.0,-195.0,148.0,The Odds API • DraftKings,draftkings,DraftKings,2026-04-12T19:28:57Z
MLB,823804,b438d512032c8841846d4e9f4b6a061b,2026-04-12,2026-04-12T18:11:00Z,WSN,MIL,WSN @ MIL,1.5,8.5,278.0,-399.0,-148.0,114.0,-101.0,-128.0,The Odds API • DraftKings,draftkings,DraftKings,2026-04-12T19:28:57Z
MLB,823075,bed40c80b9530acfcc89be0795309682,2026-04-12,2026-04-12T18:16:00Z,BOS,STL,BOS @ STL,-5.5,13.5,-3500.0,980.0,-134.0,103.0,104.0,-135.0,The Odds API • DraftKings,draftkings,DraftKings,2026-04-12T19:28:57Z
MLB,824696,48ddab368fb44b8c7e5c7ef18e0ba99a,2026-04-12,2026-04-12T18:21:00Z,PIT,CHC,PIT @ CHC,-3.5,13.5,-406.0,282.0,108.0,-143.0,-115.0,-113.0,The Odds API • DraftKings,draftkings,DraftKings,2026-04-12T19:28:57Z
MLB,823317,37a92ce7648fc0715c4a6411c5bcb637,2026-04-12,2026-04-12T20:11:00Z,COL,SDP,COL @ SDP,1.5,7.5,184.0,-226.0,-126.0,104.0,-115.0,-105.0,The Odds API • DraftKings,draftkings,DraftKings,2026-04-12T19:28:57Z
MLB,823154,6656a7aa341ece1a4bb860481931621a,2026-04-12,2026-04-12T20:11:00Z,HOU,SEA,HOU @ SEA,1.5,8.0,159.0,-193.0,-136.0,113.0,-102.0,-118.0,The Odds API • DraftKings,draftkings,DraftKings,2026-04-12T19:28:57Z
MLB,823966,396adc6bdadc61665a790a130d131bec,2026-04-12,2026-04-12T20:11:00Z,TEX,LAD,TEX @ LAD,1.5,8.5,118.0,-143.0,-188.0,155.0,-110.0,-110.0,The Odds API • DraftKings,draftkings,DraftKings,2026-04-12T19:28:57Z
MLB,824126,b71115505615845619d9ea17e964e30f,2026-04-12,2026-04-12T21:11:00Z,CHW,KCR,CHW @ KCR,1.5,9.0,152.0,-185.0,-136.0,113.0,102.0,-122.0,The Odds API • DraftKings,draftkings,DraftKings,2026-04-12T19:28:57Z
MLB,824938,b078df49b4b246be7446b434bca64f28,2026-04-12,2026-04-12T23:21:00Z,CLE,ATL,CLE @ ATL,1.5,7.0,159.0,-194.0,-136.0,113.0,-115.0,-105.0,The Odds API • DraftKings,draftkings,DraftKings,2026-04-12T19:28:57Z
MLB,823153,d10f53a6fb57a00a4e08f7d5fe1d10de,2026-04-13,2026-04-13T20:11:00Z,HOU,SEA,HOU @ SEA,1.5,7.5,136.0,-162.0,-170.0,138.0,100.0,-122.0,The Odds API • FanDuel,fanduel,FanDuel,2026-04-12T19:28:59Z
MLB,823481,dcb7f3b019ab5e225b354b9e8c2b291e,2026-04-13,2026-04-13T22:41:00Z,CHC,PHI,CHC @ PHI,1.5,8.5,160.0,-190.0,-140.0,116.0,102.0,-124.0,The Odds API • FanDuel,fanduel,FanDuel,2026-04-12T19:28:59Z
MLB,823400,df0e15c1b18c2572248e1e6fa22b5271,2026-04-13,2026-04-13T22:41:00Z,WSN,PIT,WSN @ PIT,1.5,7.5,200.0,-245.0,-113.0,-106.0,-105.0,-115.0,The Odds API • FanDuel,fanduel,FanDuel,2026-04-12T19:28:59Z
MLB,823563,41cfc5f9fbe204005b41506b477dbe2a,2026-04-13,2026-04-13T23:06:00Z,LAA,NYY,LAA @ NYY,1.5,9.0,152.0,-180.0,-138.0,115.0,-105.0,-115.0,The Odds API • FanDuel,fanduel,FanDuel,2026-04-12T19:28:59Z
MLB,824937,eb7b6453caa8162c84f45e9a1f779847,2026-04-13,2026-04-13T23:16:00Z,MIA,ATL,MIA @ ATL,1.5,8.5,118.0,-138.0,-184.0,152.0,100.0,-122.0,The Odds API • FanDuel,fanduel,FanDuel,2026-04-12T19:28:59Z
MLB,823725,d68d87788cfa956ebee8d3a758c79ff0,2026-04-13,2026-04-13T23:41:00Z,BOS,MIN,BOS @ MIN,-1.5,7.5,-180.0,152.0,100.0,-120.0,100.0,-122.0,The Odds API • FanDuel,fanduel,FanDuel,2026-04-12T19:28:59Z
MLB,825024,a5f186ae13718f117194fdc34bae1f01,2026-04-13,2026-04-14T01:41:00Z,TEX,OAK,TEX @ OAK,-1.5,9.0,-138.0,118.0,120.0,-144.0,-105.0,-115.0,The Odds API • FanDuel,fanduel,FanDuel,2026-04-12T19:28:59Z
MLB,823964,af4723d660204fd1fb7719261eb7f74b,2026-04-13,2026-04-14T02:11:00Z,NYM,LAD,NYM @ LAD,1.5,8.5,134.0,-158.0,-160.0,132.0,-115.0,-105.0,The Odds API • FanDuel,fanduel,FanDuel,2026-04-12T19:28:59Z
